URL,NAME,LINE
http://www.mta.info/nyct/subway/index.html,Lorimer St,L
http://www.mta.info/nyct/subway/index.html,Bedford Ave,L
http://www.mta.info/nyct/subway/index.html,Broadway,G
http://www.mta.info/nyct/subway/index.html,Lorimer St,J-M
http://www.mta.info/nyct/subway/index.html,Montrose Ave,L
http://www.mta.info/nyct/subway/index.html,23rd St - Ely Av,E-M
http://www.mta.info/nyct/subway/index.html,Long Island City - Court Sq,G
http://www.mta.info/nyct/subway/index.html,21st St,G
http://www.mta.info/nyct/subway/index.html,39th Ave,N-Q
http://www.mta.info/nyct/subway/index.html,36th Ave,N-Q
http://www.mta.info/nyct/subway/index.html,145th St,1
http://www.mta.info/nyct/subway/index.html,157th St,1
http://www.mta.info/nyct/subway/index.html,96th St,1-2-3
http://www.mta.info/nyct/subway/index.html,103rd St,1
http://www.mta.info/nyct/subway/index.html,Central Park North (110th St),2-3
http://www.mta.info/nyct/subway/index.html,103rd St,A-B-C
http://www.mta.info/nyct/subway/index.html,Cathedral Pkwy (110th St),A-B-C
http://www.mta.info/nyct/subway/index.html,72nd St,1-2-3
http://www.mta.info/nyct/subway/index.html,72nd St,A-B-C
http://www.mta.info/nyct/subway/index.html,81st St,A-B-C
http://www.mta.info/nyct/subway/index.html,75th Ave,E-F
http://www.mta.info/nyct/subway/index.html,Kew Gardens - Union Tpke,E-F
http://www.mta.info/nyct/subway/index.html,86th St,A-B-C
http://www.mta.info/nyct/subway/index.html,96th St,A-B-C
http://www.mta.info/nyct/subway/index.html,Cathedral Pkwy (110th St),1
http://www.mta.info/nyct/subway/index.html,116th St - Columbia University,1
http://www.mta.info/nyct/subway/index.html,125th St,2-3
http://www.mta.info/nyct/subway/index.html,135th St,2-3
http://www.mta.info/nyct/subway/index.html,149th St - Grand Concourse,4
http://www.mta.info/nyct/subway/index.html,116th St,2-3
http://www.mta.info/nyct/subway/index.html,Tremont Ave,B-D
http://www.mta.info/nyct/subway/index.html,182nd-183rd Sts,B-D
http://www.mta.info/nyct/subway/index.html,137th St - City College,1
http://www.mta.info/nyct/subway/index.html,145th St,3
http://www.mta.info/nyct/subway/index.html,176th St,4
http://www.mta.info/nyct/subway/index.html,Burnside Ave,4
http://www.mta.info/nyct/subway/index.html,170th St,B-D
http://www.mta.info/nyct/subway/index.html,174th-175th Sts,B-D
http://www.mta.info/nyct/subway/index.html,168th St,1
http://www.mta.info/nyct/subway/index.html,181st St,1
http://www.mta.info/nyct/subway/index.html,168th St,A-C
http://www.mta.info/nyct/subway/index.html,191st St,1
http://www.mta.info/nyct/subway/index.html,175th St,A
http://www.mta.info/nyct/subway/index.html,Beach 44th St,A
http://www.mta.info/nyct/subway/index.html,Beach 60th St,A
http://www.mta.info/nyct/subway/index.html,Beach 105th St,A-S
http://www.mta.info/nyct/subway/index.html,Beach 98th St,A-S
http://www.mta.info/nyct/subway/index.html,Rockaway Park - Beach 116 St,A-S
http://www.mta.info/nyct/subway/index.html,Beach 90th St,A-S
http://www.mta.info/nyct/subway/index.html,Beach 36th St,A
http://www.mta.info/nyct/subway/index.html,Beach 25th St,A
http://www.mta.info/nyct/subway/index.html,Parsons Blvd,F
http://www.mta.info/nyct/subway/index.html,169th St,F
http://www.mta.info/nyct/subway/index.html,103rd St - Corona Plaza,7
http://www.mta.info/nyct/subway/index.html,111th St,7
http://www.mta.info/nyct/subway/index.html,63rd Dr - Rego Park,E-M-R
http://www.mta.info/nyct/subway/index.html,Grant Ave,A-S
http://www.mta.info/nyct/subway/index.html,79th St,1-2
http://www.mta.info/nyct/subway/index.html,Atlantic Ave,L
http://www.mta.info/nyct/subway/index.html,Christopher St - Sheridan Sq,1-2
http://www.mta.info/nyct/subway/index.html,E 149th St,6
http://www.mta.info/nyct/subway/index.html,Ozone Park - Lefferts Blvd,A-S
http://www.mta.info/nyct/subway/index.html,Times Sq - 42nd St,7-7 Express
http://www.mta.info/nyct/subway/index.html,77th St,4-6-6 Express
http://www.mta.info/nyct/subway/index.html,Woodside - 61st St,7-7 Express
http://www.mta.info/nyct/subway/index.html,111th St,A-S
http://www.mta.info/nyct/subway/index.html,Flushing - Main St,7-7 Express
http://www.mta.info/nyct/subway/index.html,W 8th St - NY Aquarium,F-Q
http://www.mta.info/nyct/subway/index.html,28th St,1-2
http://www.mta.info/nyct/subway/index.html,28th St,4-6-6 Express
http://www.mta.info/nyct/subway/index.html,Pelham Bay Park,6-6 Express
http://www.mta.info/nyct/subway/index.html,Westchester Sq - E Tremont Ave,6-6 Express
http://www.mta.info/nyct/subway/index.html,18th St,1-2
http://www.mta.info/nyct/subway/index.html,Grand Central - 42nd St,4-5-6-6 Express
http://www.mta.info/nyct/subway/index.html,Grand Central - 42nd St,7-7 Express
http://www.mta.info/nyct/subway/index.html,Canal St,4-6-6 Express
http://www.mta.info/nyct/subway/index.html,Beach 67th St,A
http://www.mta.info/nyct/subway/index.html,W 4th St - Washington Sq (Upper),A-C-E
http://www.mta.info/nyct/subway/index.html,67th Ave,E-M-R
http://www.mta.info/nyct/subway/index.html,85th St - Forest Pky,J
http://www.mta.info/nyct/subway/index.html,Woodhaven Blvd,J-Z
http://www.mta.info/nyct/subway/index.html,111th St,J
http://www.mta.info/nyct/subway/index.html,121st St,J-Z
http://www.mta.info/nyct/subway/index.html,Sutphin Blvd - Archer Av,E-J-Z
http://www.mta.info/nyct/subway/index.html,Halsey St,L
http://www.mta.info/nyct/subway/index.html,Myrtle Ave,L
http://www.mta.info/nyct/subway/index.html,New Lots Ave,3-4
http://www.mta.info/nyct/subway/index.html,Van Siclen Ave,3-4
http://www.mta.info/nyct/subway/index.html,Pennsylvania Ave,3-4
http://www.mta.info/nyct/subway/index.html,Van Siclen Ave,A-C
http://www.mta.info/nyct/subway/index.html,Van Siclen Ave,J-Z
http://www.mta.info/nyct/subway/index.html,Cleveland St,J
http://www.mta.info/nyct/subway/index.html,Livonia Ave,L
http://www.mta.info/nyct/subway/index.html,Sutter Ave,L
http://www.mta.info/nyct/subway/index.html,Junius St,3-4
http://www.mta.info/nyct/subway/index.html,Rockaway Ave,3-4
http://www.mta.info/nyct/subway/index.html,Canarsie - Rockaway Pkwy,L
http://www.mta.info/nyct/subway/index.html,E 105th St,L
http://www.mta.info/nyct/subway/index.html,Saratoga Ave,3-4
http://www.mta.info/nyct/subway/index.html,Sutter Ave - Rutland Road,3-4
http://www.mta.info/nyct/subway/index.html,New Lots Ave,L
http://www.mta.info/nyct/subway/index.html,Far Rockaway - Mott Ave,A
http://www.mta.info/nyct/subway/index.html,Chauncey St,J-Z
http://www.mta.info/nyct/subway/index.html,Broadway Junction,J-Z
http://www.mta.info/nyct/subway/index.html,Halsey St,J
http://www.mta.info/nyct/subway/index.html,Alabama Ave,J
http://www.mta.info/nyct/subway/index.html,Shepherd Ave,A-C
http://www.mta.info/nyct/subway/index.html,Norwood Ave,J-Z
http://www.mta.info/nyct/subway/index.html,Crescent St,J-Z
http://www.mta.info/nyct/subway/index.html,Cypress Hills,J
http://www.mta.info/nyct/subway/index.html,75th St - Eldert Ln,J-Z
http://www.mta.info/nyct/subway/index.html,69th St,7
http://www.mta.info/nyct/subway/index.html,74th St - Broadway,7
http://www.mta.info/nyct/subway/index.html,65th St,E-M-R
http://www.mta.info/nyct/subway/index.html,Woodhaven Blvd - Queens Mall,E-M-R
http://www.mta.info/nyct/subway/index.html,Wyckoff Ave,M
http://www.mta.info/nyct/subway/index.html,Seneca Ave,M
http://www.mta.info/nyct/subway/index.html,DeKalb Ave,L
http://www.mta.info/nyct/subway/index.html,52nd St,7
http://www.mta.info/nyct/subway/index.html,46th St,E-M-R
http://www.mta.info/nyct/subway/index.html,Northern Blvd,E-M-R
http://www.mta.info/nyct/subway/index.html,46th St,7
http://www.mta.info/nyct/subway/index.html,82nd St - Jackson Hts,7
http://www.mta.info/nyct/subway/index.html,90th St - Elmhurst Av,7
http://www.mta.info/nyct/subway/index.html,Grand Ave - Newtown,E-M-R
http://www.mta.info/nyct/subway/index.html,Elmhurst Ave,E-M-R
http://www.mta.info/nyct/subway/index.html,Howard Beach - JFK Airport,A
http://www.mta.info/nyct/subway/index.html,Aqueduct - North Conduit Av,A
http://www.mta.info/nyct/subway/index.html,104th-102nd Sts,J-Z
http://www.mta.info/nyct/subway/index.html,Briarwood - Van Wyck Blvd,E-F
http://www.mta.info/nyct/subway/index.html,Forest Hills - 71st Av,E-F-M-R
http://www.mta.info/nyct/subway/index.html,Sutphin Blvd,F
http://www.mta.info/nyct/subway/index.html,Jamaica - Van Wyck,E
http://www.mta.info/nyct/subway/index.html,Jamaica Ctr - Parsons / Archer,E-J-Z
http://www.mta.info/nyct/subway/index.html,Simpson St,2-5
http://www.mta.info/nyct/subway/index.html,Freeman St,2-5
http://www.mta.info/nyct/subway/index.html,225th St,2-5
http://www.mta.info/nyct/subway/index.html,Elder Ave,6
http://www.mta.info/nyct/subway/index.html,Morrison Av - Soundview,6
http://www.mta.info/nyct/subway/index.html,Longwood Ave,6
http://www.mta.info/nyct/subway/index.html,Astoria Blvd,N-Q
http://www.mta.info/nyct/subway/index.html,Astoria - Ditmars Blvd,N-Q
http://www.mta.info/nyct/subway/index.html,Jackson Ave,2-5
http://www.mta.info/nyct/subway/index.html,Prospect Ave,2-5
http://www.mta.info/nyct/subway/index.html,Cypress Ave,6
http://www.mta.info/nyct/subway/index.html,Whitlock Ave,6
http://www.mta.info/nyct/subway/index.html,Intervale Ave,2-5
http://www.mta.info/nyct/subway/index.html,174th St,2-5
http://www.mta.info/nyct/subway/index.html,Pelham Pkwy,2-5
http://www.mta.info/nyct/subway/index.html,Allerton Ave,2-5
http://www.mta.info/nyct/subway/index.html,E 143rd St - St Mary's St,6
http://www.mta.info/nyct/subway/index.html,Kingsbridge Rd,4
http://www.mta.info/nyct/subway/index.html,Bedford Park Blvd - Lehman College,4
http://www.mta.info/nyct/subway/index.html,Harlem - 148 St,3
http://www.mta.info/nyct/subway/index.html,Mt Eden Ave,4
http://www.mta.info/nyct/subway/index.html,Fordham Rd,B-D
http://www.mta.info/nyct/subway/index.html,170th St,4
http://www.mta.info/nyct/subway/index.html,Kingsbridge Rd,B-D
http://www.mta.info/nyct/subway/index.html,Bedford Park Blvd,B-D
