URL,NAME,LINE
http://www.mta.info/nyct/subway/index.html,Dyckman St,A
http://www.mta.info/nyct/subway/index.html,Grand St,B-D
http://www.mta.info/nyct/subway/index.html,Broadway - Lafayette St,B-D-F-M
http://www.mta.info/nyct/subway/index.html,Bowery,J-Z
http://www.mta.info/nyct/subway/index.html,Canal St,N-Q
http://www.mta.info/nyct/subway/index.html,23rd St,A-C-E
http://www.mta.info/nyct/subway/index.html,34th St - Penn Station,A-C-E
http://www.mta.info/nyct/subway/index.html,Jackson Hts - Roosevelt Av,E-F-M-R
http://www.mta.info/nyct/subway/index.html,14th St,1-2-3
http://www.mta.info/nyct/subway/index.html,135th St,A-B-C
http://www.mta.info/nyct/subway/index.html,14th St,F-M
http://www.mta.info/nyct/subway/index.html,6th Ave,L
http://www.mta.info/nyct/subway/index.html,8th Ave,L
http://www.mta.info/nyct/subway/index.html,14th St,A-C-E
http://www.mta.info/nyct/subway/index.html,Nostrand Ave,3-4
http://www.mta.info/nyct/subway/index.html,Clark St,2-3
http://www.mta.info/nyct/subway/index.html,Franklin Ave,A-C
http://www.mta.info/nyct/subway/index.html,Clinton - Washington Aves,A-C
http://www.mta.info/nyct/subway/index.html,Forest Ave,M
http://www.mta.info/nyct/subway/index.html,110th St,4-6-6 Express
http://www.mta.info/nyct/subway/index.html,86th St,4-5-6-6 Express
http://www.mta.info/nyct/subway/index.html,York St,F
http://www.mta.info/nyct/subway/index.html,High St,A-C
http://www.mta.info/nyct/subway/index.html,Lafayette Ave,A-C
http://www.mta.info/nyct/subway/index.html,President St,2-5
http://www.mta.info/nyct/subway/index.html,Woodlawn,4
http://www.mta.info/nyct/subway/index.html,Bleecker St (Uptown),4-6-6 Express
http://www.mta.info/nyct/subway/index.html,103rd St,4-6-6 Express
http://www.mta.info/nyct/subway/index.html,Euclid Ave,A-C-S
http://www.mta.info/nyct/subway/index.html,88th St,A-S
http://www.mta.info/nyct/subway/index.html,Cortelyou Rd,B-Q
http://www.mta.info/nyct/subway/index.html,116th St,4-6-6 Express
http://www.mta.info/nyct/subway/index.html,Parkchester,6-6 Express
http://www.mta.info/nyct/subway/index.html,Franklin St,1-2
http://www.mta.info/nyct/subway/index.html,80th St,A-S
http://www.mta.info/nyct/subway/index.html,5th Ave - Bryant Pk,7-7 Express
http://www.mta.info/nyct/subway/index.html,Spring St,4-6-6 Express
http://www.mta.info/nyct/subway/index.html,125th St,4-5-6-6 Express
http://www.mta.info/nyct/subway/index.html,Coney Island - Stillwell Av,D-F-N-Q
