stop_id,month_total_ride,customer_ride_count,customer_duration_sum
216,211,44,58336
217,576,255,429812
212,1982,88,160303
2005,38,0,0
264,1183,66,88531
218,212,7,11090
2008,1142,105,195812
498,2553,121,151991
499,2670,343,787646
414,579,51,74170
494,2729,89,92517
495,1432,52,57721
496,2631,131,178437
497,5339,223,323858
490,4102,184,268956
491,2390,65,67406
492,2820,92,152120
493,1924,155,332637
167,2327,72,106420
428,2289,69,63355
160,1489,46,50239
407,333,60,97468
349,916,38,36302
137,1068,53,67393
2009,883,17,31438
344,306,20,29868
406,665,29,43533
405,1977,182,2308723
404,2137,222,333971
403,1788,79,107614
402,3753,136,158601
401,2029,79,98056
400,344,20,27868
281,2087,551,1563537
280,2110,70,94070
2017,675,24,34216
282,325,56,71242
348,2118,185,241646
2010,1402,86,119968
409,208,16,206569
2012,1531,18,24172
453,2464,74,83022
440,1365,50,74960
331,619,23,28738
301,1673,62,91077
369,1512,51,122977
455,1216,75,90107
263,1895,96,103088
262,445,13,24024
261,579,31,27875
260,599,49,84651
267,1694,76,109252
266,486,11,13319
265,1681,87,125726
127,2954,85,116859
128,2790,109,144072
268,1552,121,251683
364,243,9,9074
422,1187,48,56803
522,1200,64,218683
302,923,10,10882
362,1477,136,222303
363,1544,121,177652
537,3077,53,190604
415,1055,32,73875
228,1387,49,84971
417,2872,156,378336
410,1998,68,65389
532,1002,231,350957
412,1336,110,153353
530,1249,91,158424
296,1390,84,110250
297,2415,68,102186
294,2718,102,101410
295,1224,54,60491
375,3059,117,154442
419,242,6,13736
377,1325,87,128867
376,866,26,30740
318,4863,91,105696
195,1795,191,271381
312,2307,109,230975
311,1097,58,63459
510,1773,137,192003
317,2164,72,65756
316,1460,59,96238
315,1037,199,361139
314,513,32,42040
270,718,14,45648
392,842,118,163635
391,1062,55,68792
116,3232,83,93583
397,272,15,27872
396,336,49,117563
395,520,14,21809
394,1687,41,50381
82,672,45,70196
279,784,145,255342
399,227,10,13463
398,338,108,177432
119,135,16,18357
143,456,16,41656
305,2228,93,283175
379,3628,84,98276
251,2349,147,223193
304,1222,175,273830
536,2865,63,86668
513,1222,24,59045
416,439,12,33458
524,1270,96,126670
525,773,191,322713
526,2016,130,194771
534,840,92,138796
520,1160,123,159500
521,7726,187,267886
368,3394,200,285635
523,3458,101,143042
366,946,20,19208
533,1719,126,899621
423,782,27,29892
365,320,16,34743
528,3515,86,86303
529,1896,115,235126
360,1086,30,64786
361,2196,54,72957
308,971,44,52289
309,1003,123,209918
449,929,49,1847318
448,1953,37,69360
531,2339,87,107856
516,811,51,95620
300,2210,58,66414
442,3177,87,163808
441,1124,54,93020
303,1515,111,165422
447,1867,103,251513
446,3042,87,92896
306,1149,51,129566
307,2123,42,47275
380,2455,131,164187
244,417,13,13341
247,1350,76,181660
383,1980,82,104248
384,433,19,28052
445,3077,134,173549
243,517,19,44483
387,2269,577,1008570
388,1863,80,108780
367,1068,35,67336
443,87,30,171385
444,3389,286,359081
249,541,18,24795
373,279,16,50742
411,804,19,19178
342,850,22,20004
245,195,16,28327
242,376,50,62404
372,184,62,2170793
420,279,4,3093
382,4069,113,126247
293,5980,203,279942
519,5779,200,270392
518,2751,70,142364
343,229,59,97810
241,392,16,19083
290,1309,52,65055
438,1858,79,86704
439,2045,71,158907
511,2836,55,63416
437,237,10,10996
434,1816,64,119497
435,5295,91,98090
432,2584,69,86502
433,2343,54,69437
430,1098,73,96440
385,967,24,28059
458,2044,61,79334
459,2040,136,181748
540,3137,67,85403
339,382,6,11682
386,1018,166,255367
450,2365,72,83156
334,2303,45,45008
337,688,34,47605
336,2284,85,93406
454,779,25,32022
330,1315,98,136562
456,1143,88,130517
457,2245,313,710052
258,419,9,12799
259,736,112,225260
357,1727,45,48539
3002,2639,290,411943
252,1593,110,173456
250,3411,198,263742
174,1911,36,45860
173,2109,233,366829
257,1527,56,54326
254,1238,33,37894
340,870,9,8522
2000,825,131,247942
2001,70,5,5530
341,852,13,20431
517,2165,59,87769
345,3137,117,197134
431,164,10,13824
346,1675,91,123024
248,483,19,22956
313,514,27,36202
347,2926,94,121611
481,360,70,141589
508,1290,115,207263
509,2640,121,148206
546,2418,71,78014
504,4277,83,109411
505,2810,169,199364
502,1412,29,38133
503,2564,86,97760
500,1808,143,323341
418,327,22,29481
310,902,49,86958
469,1605,172,257618
468,1776,109,205938
465,3090,141,178444
464,1045,23,37935
467,633,35,87465
466,2437,68,247811
461,3202,50,49314
460,369,33,38903
463,2164,172,271769
462,3396,150,217062
168,3528,78,87181
229,2749,151,150049
507,2262,34,23886
164,1437,56,62528
225,961,190,257111
224,1148,119,250577
223,2123,53,61028
161,2598,132,165312
298,229,28,70872
393,1109,40,50482
271,1055,46,64473
285,4816,222,264327
284,3758,89,102179
527,850,13,11945
538,512,39,45363
501,1468,129,259436
2004,1226,71,87981
2021,1930,150,269647
2022,1078,31,54316
2023,837,45,85052
274,455,17,30612
408,633,24,29004
275,236,4,6212
151,3902,249,349519
150,1252,35,40226
153,1514,86,87728
152,1115,87,178606
276,1015,25,34480
157,688,42,62029
289,123,8,9769
427,648,129,262880
353,338,3,3089
278,331,26,29490
238,1323,98,129327
239,516,10,8717
83,500,56,97973
545,2411,61,60517
236,2667,115,142897
237,2639,92,109484
426,3123,323,409739
232,278,106,136925
233,986,73,163107
2002,709,126,222178
356,730,26,34112
470,1826,57,74474
322,328,70,718248
323,801,34,48135
320,313,9,9285
471,443,67,170718
326,2152,78,97353
327,3037,187,331161
324,880,28,34036
325,1886,38,50866
2006,1657,851,3026278
328,1393,73,92625
329,2113,83,107629
335,2255,88,87731
352,1818,180,416062
146,1399,52,79289
147,2626,108,144368
144,190,35,46622
351,816,36,45901
321,296,110,174866
350,1195,40,64350
436,123,12,32474
72,1175,75,117126
489,2129,102,136705
488,2754,82,114630
487,1856,60,72383
486,2275,160,235320
485,1604,84,129494
484,1551,95,98158
483,2881,42,45215
482,2300,37,34347
79,1623,82,122962
480,1437,61,86052
120,261,8,13407
512,1840,83,77468
389,389,54,83523
332,623,47,56503
515,1953,43,55197
291,819,20,22002
514,1612,324,548859
472,3101,69,92705
473,1325,79,95804
355,1448,93,192961
354,328,13,21240
476,2564,75,88935
477,3364,108,140112
474,2206,104,133881
475,1901,52,49428
390,471,23,31638
478,1747,50,75696
479,2339,93,172018
421,319,7,9529
539,934,187,304031
359,2099,51,74492
358,3208,189,228008
