stop_id,month_total_ride,customer_ride_count,customer_duration_sum
216,78,9,7974
217,191,54,84319
212,1104,26,51916
534,508,14,13540
2005,42,0,0
373,139,4,3566
264,663,16,16411
218,99,2,952
498,1386,37,45055
499,1462,123,307472
414,390,2,1706
494,1533,20,121514
495,931,15,12329
496,1456,23,23656
497,2929,47,41083
490,2381,26,62122
491,1594,5,3425
492,2757,24,20310
493,720,22,23032
167,1339,10,9104
471,160,10,13731
428,1243,14,12832
223,1191,12,20155
421,227,2,1424
349,415,8,12922
137,721,14,11097
344,154,1,1067
345,1471,18,14278
540,1110,11,8792
404,1011,45,39047
403,957,22,27264
341,529,5,6210
342,498,3,2808
545,1618,19,23649
281,1003,162,423683
280,958,11,10651
2017,436,6,8904
282,148,5,8553
348,1031,30,37199
284,2192,16,22972
409,75,2,2608
2012,1166,15,13699
336,876,13,15345
522,740,21,28188
2006,524,261,554744
331,359,11,7579
369,670,7,23988
330,689,17,20739
263,1088,19,32675
478,1148,8,6141
261,268,3,5432
260,325,5,7487
267,731,10,9036
266,267,1,737
265,953,10,13153
127,1392,13,15696
128,1520,12,12019
442,1471,28,57471
268,856,18,49344
364,162,3,1881
422,494,4,6817
302,538,5,5479
362,627,12,11033
435,2977,12,42390
363,744,17,20824
537,1706,14,15953
415,690,4,6311
416,231,0,0
417,1723,43,51922
410,1139,19,23555
532,349,51,84089
531,1335,17,25637
530,794,16,34206
296,817,2,3148
297,1356,19,12495
294,860,21,23578
295,753,7,8412
375,1519,23,30018
419,150,0,0
539,405,25,27858
376,458,4,7538
456,706,7,8319
318,3128,17,58299
313,369,34,39538
312,1092,20,16091
311,717,9,9504
310,504,8,7889
317,1321,7,6826
316,691,7,9227
315,512,13,19893
314,275,4,6749
270,512,5,3033
392,89,28,41879
391,390,6,7882
116,1733,10,7568
274,263,1,1192
275,131,1,1656
395,306,1,372
394,1026,7,7574
82,318,10,10696
279,562,34,49006
399,100,0,0
398,92,11,11178
119,114,1,864
379,2661,10,10377
251,1102,24,31448
536,1561,9,4153
513,729,11,11452
524,718,31,34095
525,521,34,40632
526,1180,42,49184
527,1483,12,12975
520,837,35,71718
521,3319,46,44427
368,1661,57,84995
523,1877,16,19694
366,554,2,3411
420,164,3,4429
423,397,7,8256
365,149,4,6363
528,1644,14,8472
529,1548,34,41743
360,588,11,15060
426,1278,62,111889
308,550,16,26590
309,616,28,91493
449,531,3,3665
448,1135,14,17375
298,110,5,6774
516,437,2,1581
300,948,12,10235
301,1091,8,11761
441,588,7,6837
303,867,27,34806
304,735,30,44740
305,1215,18,39343
445,1418,23,17985
446,1638,10,7461
245,83,5,13022
244,198,4,3876
382,2286,34,31284
383,641,5,5758
384,296,4,9397
385,500,4,4540
243,269,1,380
387,1059,165,333969
388,1014,9,7989
389,145,5,21291
443,40,6,7545
307,1222,14,16769
249,339,3,2101
248,229,3,3784
411,497,2,3038
306,464,5,10465
380,538,7,8872
242,229,12,7846
372,70,16,167129
2002,355,19,34597
2000,504,10,21440
418,155,1,489
224,442,28,48986
247,721,14,17199
293,3128,40,51291
519,2232,21,20067
518,1754,14,13597
343,118,13,23132
405,745,36,44849
241,201,3,5678
377,462,29,42500
438,1048,18,23083
439,1193,13,18506
511,1247,17,19781
437,123,0,0
434,931,25,25288
512,919,12,18322
515,1422,7,4146
433,1336,11,11901
430,625,12,14483
533,954,20,30751
458,1196,20,19718
459,1919,26,70648
339,186,2,2854
386,559,23,31538
468,819,24,68832
450,1119,9,11022
334,1243,8,6498
337,496,15,19350
453,1416,14,10948
454,454,7,7303
455,879,28,32004
444,1852,60,72568
457,957,91,284592
258,166,5,7712
259,429,22,32374
447,983,26,33653
3002,1097,46,72656
252,763,14,11212
250,1797,21,42338
174,1070,10,7958
173,1256,43,90432
257,828,14,19822
254,577,9,6967
340,628,5,23723
289,58,1,724
517,1351,10,11349
2001,70,1,998
406,347,7,8219
346,949,20,33385
431,116,0,0
195,808,33,37219
347,1592,19,20467
481,121,13,22399
508,692,11,10554
509,1725,19,17347
507,1239,4,7821
504,2003,18,20639
505,1334,38,45730
502,958,3,4722
503,1313,7,6443
500,934,16,20104
501,698,19,23693
510,1392,43,65167
469,522,17,36476
401,1018,17,14294
465,1137,39,59039
464,550,7,7007
467,326,8,17904
466,1343,16,19849
461,1580,16,23965
402,2111,23,39088
463,1290,21,17995
462,1419,25,28511
168,1981,11,12793
546,1387,14,15217
229,1566,16,18435
228,784,3,2169
164,756,1,617
225,361,55,72583
412,599,26,57085
160,814,5,5506
161,1178,18,13881
393,677,3,1226
367,635,7,23785
271,523,6,9810
285,2198,43,49295
356,470,4,8006
2010,620,8,10663
538,979,37,52826
390,205,4,6871
2021,90,4,3471
2022,591,11,18188
2023,510,9,15850
397,126,3,7035
408,306,8,13138
396,146,4,3076
151,1586,45,85796
150,714,4,7152
153,1350,35,44758
152,537,10,11322
276,455,4,4178
157,437,12,17886
400,203,6,7239
427,338,34,38225
361,1100,16,20003
278,155,3,4910
238,721,16,23691
239,336,0,0
83,237,6,12086
2004,756,18,16328
236,1335,29,23492
237,1278,16,15588
232,114,49,105945
233,536,12,20604
357,872,17,13507
440,873,13,15866
473,573,16,17910
355,836,24,66743
322,130,27,43774
323,440,12,16265
320,566,3,4015
321,64,11,14826
326,1324,15,26162
327,1579,18,25580
324,731,9,17604
325,117,2,2889
353,156,7,6744
328,561,10,6377
329,1140,18,27853
