stop_id,month_total_ride,customer_ride_count,customer_duration_sum
216,719,314,456437
217,1964,947,2012380
212,3841,593,964738
534,1757,304,406439
2005,101,14,19762
264,3310,358,422034
218,537,77,104985
354,715,95,109202
342,1287,97,138502
498,4237,474,672252
499,7770,2009,4911727
414,1559,321,517526
494,3840,319,399608
495,3289,301,334347
496,4082,423,622414
497,11101,1305,1424196
490,4778,518,705436
492,4687,436,686497
493,3309,539,707910
224,2708,607,906006
428,3395,333,463195
160,2299,203,256966
2004,1206,181,259228
407,634,203,293076
2009,1333,115,205611
344,530,55,208742
345,4818,414,451217
540,5209,400,421163
404,5958,1248,1748655
340,1362,105,141970
402,6971,670,875348
401,5096,653,896832
343,543,151,187119
281,5617,2250,5240484
280,3386,283,336718
2017,1857,198,266085
282,720,165,384881
285,7688,962,1115505
349,1749,231,287252
409,475,48,668830
408,1347,248,355265
300,2498,188,194524
336,4504,525,709361
522,2791,346,771201
2006,5212,3162,7739991
331,1228,179,355570
341,1419,144,216623
523,4232,317,372681
330,2353,363,477496
263,3587,474,657985
262,726,66,86096
261,1213,116,213364
260,1331,169,244205
267,2073,420,568704
266,872,114,145879
265,3476,473,636227
127,5788,640,790328
128,6057,607,814516
377,2686,480,648318
442,4650,372,557828
268,4359,866,1371472
364,729,87,143954
422,3405,475,733729
362,1803,198,270260
529,3341,402,921532
537,5191,378,379366
536,3532,209,253096
416,922,102,124179
417,5731,966,1419022
533,2057,272,358268
532,2789,1044,1716048
531,3585,392,468152
441,1874,211,286441
137,2425,349,504877
294,5326,725,738447
295,1505,204,257032
418,914,207,400278
419,996,86,116125
539,2849,923,2102384
291,1510,204,270987
319,2850,362,508214
318,5804,420,473626
403,3165,432,520802
303,3531,579,784846
309,2857,502,794066
313,959,125,144230
312,4334,652,849256
311,2410,259,327019
310,2382,353,695257
317,3653,366,426525
316,2361,238,365740
315,3049,703,1123067
314,1146,130,217372
393,1706,128,182186
392,867,412,744640
391,1932,272,475642
116,5769,443,461630
397,556,104,148761
396,1118,169,207044
276,2359,261,380773
394,2984,304,349555
82,1385,321,386431
83,1827,349,819801
399,744,55,99673
398,1923,664,1168357
119,255,35,35046
143,1049,127,278530
305,4383,486,837579
379,4159,279,346861
251,5207,715,925442
415,2659,275,342786
513,2232,295,498963
520,2594,450,650566
524,4023,473,635797
525,1738,498,870596
526,2214,242,273500
527,3767,290,410328
447,4127,579,829514
521,9320,812,1015004
368,6890,1011,1316615
369,3075,327,407625
366,1469,132,387849
420,761,90,126883
423,1904,215,317278
365,814,72,115285
528,5180,507,581546
363,4513,767,1271791
360,2316,278,394769
361,3201,406,584301
308,1960,213,278103
410,4140,539,643357
449,2313,250,474900
448,3938,354,416491
298,551,74,128781
512,2958,346,426241
443,375,121,170497
301,4297,558,747243
302,1150,99,122622
421,426,42,37115
304,3374,897,1446943
446,5237,452,503266
445,4293,419,617839
307,3224,273,301998
380,7777,944,1150208
296,2505,329,444928
247,3351,638,850341
383,2185,286,392573
384,1250,188,304654
385,1912,166,201916
386,2449,663,992983
387,5764,2845,4632016
388,5373,762,1077313
389,939,239,676337
444,7555,1335,1615054
249,1975,249,350588
373,651,100,421937
411,1432,180,239143
306,3472,497,809711
245,388,94,183769
242,782,149,202756
372,326,136,192562
244,922,81,83207
375,5361,523,713365
270,1152,65,60893
382,7819,827,1083309
293,9310,887,953774
519,7628,641,914951
518,5981,550,766929
405,3833,835,1193222
241,892,131,182193
290,3265,543,1036627
438,3592,358,387323
439,4928,552,693507
511,2958,315,481087
437,592,95,163542
434,3299,390,495203
435,7822,511,558719
432,3344,420,526443
433,4218,338,424531
430,2307,434,815546
516,753,59,88421
458,2821,434,572115
459,10582,1664,2213959
339,597,50,83221
243,1910,217,278610
450,4452,365,535517
334,4654,357,493134
337,1826,269,417200
453,4715,363,424572
454,2152,266,362490
455,1887,238,346343
456,2880,348,605267
457,5412,1455,3383539
258,935,125,178077
259,2339,483,912961
357,2672,201,206021
3002,5572,1395,1928764
252,2910,358,421045
253,3550,360,383198
250,1836,219,352143
174,2716,212,286842
173,4337,875,1276938
257,2907,422,567072
254,3951,374,421524
289,335,30,36155
517,3812,330,474391
406,1539,236,382074
431,249,26,134028
346,3728,566,746326
248,1057,122,183856
195,3726,644,1019984
347,6149,689,946973
79,2550,350,531480
508,2764,548,846354
509,5046,513,612194
507,4768,374,523835
504,5242,450,542629
505,4260,743,938231
502,2195,188,232487
503,1911,452,735014
500,3051,359,741294
501,2735,513,725986
510,3879,553,732123
473,2768,512,725459
469,3771,582,803294
468,3376,430,653552
465,3871,594,809640
464,2745,289,474774
467,2167,358,755942
466,5605,491,714815
461,4565,410,476416
460,1106,302,515104
463,5024,718,855122
462,6683,1002,1439550
168,6224,511,572482
546,3859,399,475139
229,4389,424,452173
228,2939,280,404389
164,2951,207,231995
225,3459,1422,2184131
167,3722,343,459144
223,4076,266,289979
161,5031,568,698480
470,3690,383,458619
367,2868,268,380785
271,2131,173,303175
348,5048,886,1256893
284,7381,685,811596
538,2518,372,591787
390,736,109,214371
2021,4139,722,1111119
2022,2372,229,503623
2023,1358,146,309824
274,1154,152,175033
2012,1923,195,285083
297,3736,284,331729
427,2927,1022,1502319
151,7559,1209,1805163
150,2018,227,274145
153,4260,576,772909
152,3349,410,493832
395,1293,142,266715
157,2067,373,726861
400,750,112,121768
2001,200,29,29206
278,553,134,203768
238,3430,630,965192
239,966,64,77746
279,484,145,555142
545,4114,325,459049
236,4879,566,779274
237,5163,598,761587
426,9560,2463,3625025
232,1176,800,1361611
233,2237,301,535449
2002,2205,702,1404780
440,2641,245,351948
2003,3230,276,354048
412,2554,615,852819
355,2977,385,505364
322,1418,691,1216036
323,5595,714,1028554
320,2633,354,407139
321,171,116,156483
326,4395,618,945362
327,6293,1131,1671920
324,1892,154,171678
325,3624,334,368099
353,630,60,73327
328,4043,660,911434
329,4656,494,747744
335,3821,361,435309
352,4222,687,1147611
146,2695,307,397704
147,5563,578,885090
144,446,170,256693
474,3955,493,663878
275,597,39,47615
475,4194,463,658957
376,2324,230,313750
436,384,56,106749
72,3498,475,708234
489,3449,451,613804
488,5340,431,555732
487,3065,414,545225
486,4112,493,628637
485,3046,406,579764
484,2686,347,456103
483,4263,363,362530
482,4739,463,633256
481,1227,370,628951
480,2491,217,292529
120,543,42,66739
2008,2555,681,1039177
332,1352,271,384333
515,4526,342,538562
514,4913,1448,2186658
472,4623,321,366873
356,1346,147,226670
2000,2568,652,1151970
471,1449,256,438085
476,5510,464,553831
477,6070,579,989054
351,2436,486,709775
350,2571,232,324859
478,3352,473,731017
479,4477,519,692363
2010,3121,592,852478
359,3311,229,313893
358,6441,920,1384401
