stop_id,month_total_ride,customer_ride_count,customer_duration_sum
216,226,45,70112
217,628,250,446704
248,610,20,24877
212,2341,174,241481
2005,64,4,4507
127,3910,138,199390
218,285,21,44305
2008,1178,139,219943
498,3291,227,283024
499,4041,687,1587482
494,2901,97,99803
495,1990,88,117246
496,1441,77,84941
497,7964,424,553253
490,4185,242,276698
225,1260,316,519002
492,3482,103,123105
493,2511,224,289454
224,1379,149,170486
428,2732,124,195633
160,1644,69,70473
137,1787,176,348258
344,408,12,14596
345,3582,107,105392
405,2539,274,451065
347,3559,163,191017
546,2793,143,136865
402,5662,241,271227
401,3059,157,291923
545,2909,118,142842
281,3398,1019,2418919
280,2294,92,119416
2017,781,49,48370
282,438,76,110794
348,3031,297,393877
349,1236,72,75799
409,261,14,20027
2012,1614,63,64527
453,3284,128,134491
522,1860,123,163358
2006,2187,1142,3932741
434,2026,135,206457
301,2682,127,119420
369,2106,115,109275
330,1406,87,123398
263,2606,151,219110
421,284,10,11395
261,732,42,56293
260,697,40,48886
267,1615,181,246139
266,605,29,34687
265,1902,120,144690
264,1971,90,109146
128,4088,220,269091
346,2188,163,220611
268,2236,185,252130
328,1846,115,178241
520,2068,158,191120
362,1439,106,139930
435,6426,159,151819
363,2027,145,225995
537,3891,134,121117
536,2430,64,69155
416,633,15,15739
417,3564,336,641502
533,1308,88,105618
532,1581,397,637615
412,1735,209,317853
441,1332,60,69839
297,2927,96,97342
373,450,25,29342
295,1248,75,82153
375,3556,158,211120
293,6630,245,420923
539,1381,266,552684
376,1312,56,77289
319,1977,134,182842
318,4931,143,253108
147,2963,114,142664
313,658,43,46320
312,2722,213,264487
311,1797,117,168212
510,2493,225,443797
317,2598,98,105418
316,1481,58,117531
315,1263,163,265721
314,584,33,28864
393,1319,59,50142
271,1351,36,96621
391,979,64,105228
116,4341,147,216327
397,290,14,18420
275,338,16,30039
276,1430,60,83432
394,2270,71,109865
278,303,30,43063
83,1151,99,229037
399,431,15,15552
398,543,106,134433
119,149,10,12723
305,2630,155,252662
414,794,84,122191
251,2859,198,372001
415,1503,48,53543
503,1317,124,195311
364,358,22,35452
524,2374,161,189907
525,1344,196,256055
526,1755,77,90506
534,946,45,71125
447,3003,194,278999
521,7028,289,384000
368,4163,290,356133
523,3853,151,234063
366,1061,41,41914
420,449,33,58718
423,1188,67,103775
422,3378,206,436287
528,4075,155,427371
529,3065,179,427497
360,1345,71,168373
361,2493,94,102346
308,1373,108,147782
410,2661,164,224338
449,1427,72,64297
440,1723,66,64395
531,2370,90,115033
300,2781,85,97517
442,3589,132,143596
302,804,17,152387
303,2417,246,332914
304,1784,265,490972
446,3905,131,225590
306,1968,137,178514
307,2216,72,94288
380,3411,239,321857
244,654,22,21918
382,5381,249,320176
383,2316,104,102647
384,661,32,63057
385,1469,55,107514
243,1394,57,93658
242,330,54,71052
388,2741,161,180733
389,507,73,92010
443,150,37,51955
444,4481,365,406869
249,1155,69,74722
294,3903,200,244734
411,827,53,71479
245,209,15,18135
377,1740,171,231613
372,192,23,43923
2002,1020,216,508672
418,461,27,37577
270,883,23,19152
247,1856,184,233277
431,116,10,11215
445,3259,132,144006
518,4164,123,118715
343,314,35,60019
233,1425,105,184835
290,1837,174,349164
438,2337,109,135547
439,2783,127,162022
436,261,17,37052
437,320,19,27474
513,1733,88,122628
512,2107,95,142303
432,2462,150,163453
433,2718,115,127939
517,3127,135,162917
516,1159,44,43648
458,2634,184,226570
459,5767,406,480839
2003,2522,74,77371
339,319,17,69709
386,1368,174,249757
379,3190,127,210954
450,3044,111,162270
334,2998,74,68608
337,894,68,98322
336,3339,149,163663
454,1266,70,75658
455,1990,117,133208
456,1953,105,136026
457,3522,556,1233086
430,1280,116,181852
258,608,36,42958
