stop_id,month_total_ride,customer_ride_count,customer_duration_sum
216,403,120,264286
217,1248,709,1257415
212,3192,350,565924
2005,67,3,3217
264,1678,149,243772
218,404,56,91039
354,572,42,76299
2008,1980,298,488086
137,1631,135,189618
499,5546,954,2141341
375,4465,271,310250
414,856,155,295609
494,3965,201,231268
495,2180,100,216689
496,4127,240,289894
497,8527,443,585582
490,4904,332,466347
491,3720,138,173835
492,4048,192,292955
493,3299,306,607947
524,64,5,7235
167,3559,161,224513
525,1997,543,971399
160,2068,98,176214
349,1482,106,125798
2009,1317,55,82277
407,522,130,223797
345,4703,213,243584
405,3179,526,767973
347,4639,289,395347
403,2687,175,220764
402,6254,326,379829
401,3492,200,1737783
545,3810,176,193237
281,4411,1607,4395709
280,3210,174,236763
2017,1306,94,131124
282,618,232,1671407
285,7337,481,667722
284,5626,272,314603
409,343,27,38770
2012,2204,58,82761
453,3453,237,391389
522,1933,163,353440
356,1300,93,156424
331,1073,69,85924
523,5531,276,356204
455,1521,171,306165
263,2760,179,234315
262,682,17,58991
261,902,45,54502
260,1073,99,148073
267,2399,260,350809
266,904,49,58613
265,2611,180,252833
127,4965,313,832218
128,4765,274,329496
377,2085,196,264512
442,4415,230,359049
268,2502,260,388935
364,408,16,20033
422,1972,149,290620
302,1269,39,50348
362,2401,253,351821
363,2543,333,2081859
379,5438,199,271737
415,1805,134,206587
416,724,13,14979
417,4420,296,418992
533,2586,238,333448
411,1263,62,87879
412,1981,265,349157
530,2590,177,291619
296,2064,156,212401
297,3637,147,205332
294,4505,331,381783
295,1873,102,129902
418,584,66,86485
293,8881,316,355326
539,1623,484,900952
376,1951,134,206077
319,263,17,20103
318,6403,188,304433
303,2648,304,387558
309,1562,227,341404
195,2640,421,712140
312,3464,243,325466
311,1730,100,150159
310,1413,124,179283
317,2937,125,159073
316,1994,154,499868
315,1892,365,602030
314,772,70,152293
393,1491,71,84045
392,1497,380,555197
391,1331,99,227833
116,5131,215,286743
274,872,79,114601
275,342,14,23648
395,829,43,82540
394,2488,125,219675
278,511,55,72333
434,2982,211,295945
399,352,16,19534
398,867,374,740207
119,201,13,18735
143,676,42,51840
537,4415,141,162719
174,2603,98,145755
304,2145,457,714312
536,4167,142,178524
332,1106,121,150817
366,1302,75,88485
428,3264,160,169398
526,3036,314,476586
534,1283,288,561925
520,1921,284,387568
521,11792,439,579936
368,5387,407,616442
369,2377,184,194492
421,423,14,22511
367,1718,92,176032
423,1260,74,192811
365,532,50,105970
528,5706,233,354890
529,2835,246,581704
360,1673,85,124996
361,3074,165,210028
308,1489,122,212460
410,3222,208,275657
449,1512,90,110189
448,3273,178,201275
531,3268,168,189196
516,881,56,70274
300,3442,153,184981
301,2530,124,130133
441,1632,94,153119
440,2130,139,219202
447,3099,297,656770
446,4973,220,233574
445,4375,179,235799
305,3524,214,4850416
380,4212,321,413381
244,669,28,43389
382,6624,408,505462
383,2998,204,288198
384,691,40,60060
385,1442,70,116140
386,1869,435,708007
242,642,130,365673
388,3121,264,507765
389,651,170,352032
443,216,100,168122
307,2918,121,143786
249,1481,70,98300
248,815,41,53339
456,1526,129,206606
306,2134,141,220575
245,240,30,33990
372,257,94,2226560
2000,1331,328,576386
420,383,43,59963
247,2166,221,312243
498,4219,282,426999
419,327,11,10332
519,9464,411,590771
518,3935,200,246005
342,1226,41,47982
289,175,16,21129
290,2068,125,185847
438,2698,195,282924
439,3326,183,242293
511,4106,127,134720
241,549,53,89389
513,1834,95,174491
512,2632,208,202338
432,3989,268,313523
433,3621,171,221384
517,3103,119,214636
431,182,13,16402
458,3203,213,314668
459,3599,400,638311
540,4441,116,129575
339,545,26,39597
243,811,47,54084
450,3617,182,300496
334,3847,160,157669
337,1068,97,232361
336,3899,269,340035
454,1220,61,74264
330,1934,255,414659
444,5744,684,997030
457,3761,684,1533551
430,1641,210,550050
258,686,53,75631
259,1573,338,623808
357,2797,182,218112
161,4043,288,337714
3002,4328,614,1076620
252,2675,217,370170
250,5091,377,449395
251,3802,375,571311
173,3270,455,788059
257,2252,160,194568
254,2001,137,161588
340,1342,22,19814
344,442,25,35311
406,1045,94,157209
346,2743,235,311699
313,757,78,84168
404,3842,603,975105
481,593,158,289923
508,2393,271,413884
509,4234,344,404453
507,3943,131,156095
504,5685,235,249421
505,3963,369,471863
502,2011,79,109171
503,3838,151,207244
500,2860,273,506078
341,1341,69,100240
510,2933,344,558587
469,2012,265,466140
468,2661,353,705370
465,4918,348,391184
464,1714,99,148642
467,977,111,335502
343,388,106,115954
461,4245,144,166380
460,630,115,1390170
463,3520,342,469572
462,4767,303,3810397
168,5018,244,275849
546,3393,177,268645
229,3867,228,300102
228,2080,135,188933
164,2213,123,239817
225,1973,490,816006
224,1798,308,535996
223,3421,125,154358
2006,2782,1419,4111405
387,4346,1520,2948097
270,940,34,41051
373,485,51,101125
271,1584,64,92759
348,3558,404,598141
2010,2463,338,511972
390,747,86,125485
2021,2646,321,506362
2022,1778,119,295938
2023,1317,91,120348
397,385,38,48614
501,2471,236,642154
427,1224,226,373587
151,6138,637,866449
150,1604,98,102129
153,3985,288,364800
152,1870,181,269425
276,1768,109,164002
157,1045,88,174641
400,613,70,77247
2001,158,24,31322
396,477,45,88302
82,874,145,397570
408,995,128,169134
238,1926,160,257723
532,1831,522,815784
83,851,124,196519
236,4234,299,437850
237,4288,272,337953
426,5697,877,1386563
232,623,349,498167
233,1637,169,280887
2002,1346,343,780067
2003,1124,39,45164
355,2376,204,305330
322,770,258,467703
323,1168,87,141158
320,1215,110,142819
321,623,190,292191
326,3287,228,247471
327,5301,664,1162409
324,1292,95,132213
325,2939,125,126618
437,381,59,104727
353,543,35,46469
328,2290,205,325542
329,3027,186,275576
298,398,49,66410
335,3369,186,200653
352,2688,382,894077
146,2193,144,206100
147,4176,308,792910
144,359,127,173646
466,3789,148,176382
2004,2104,247,376050
239,815,28,91999
351,1438,160,258468
475,3139,94,96624
436,205,27,77464
72,2387,216,432413
489,3311,256,313631
488,4264,267,386758
487,2626,108,153578
486,3564,337,475477
485,2413,210,297948
484,2718,214,330468
483,3259,126,168036
482,3696,190,364812
79,2091,192,311983
480,2224,112,207742
120,381,19,23299
435,8070,287,392223
515,2819,128,288489
291,1159,49,67646
514,3504,885,1513187
472,4719,174,250782
473,2060,230,300338
470,3131,242,264070
471,738,122,204276
476,3667,167,192124
477,5548,171,247917
474,3844,267,366623
350,1854,107,228581
279,1541,342,578575
478,2420,179,284857
479,3501,186,254650
359,3362,122,188178
358,5208,366,464646
