stop_id,month_total_ride,customer_ride_count,customer_duration_sum
216,791,362,767574
217,2572,1747,3386067
212,3644,962,1556468
233,542,213,330450
353,780,107,135068
264,2260,306,624281
218,434,72,109296
2008,3952,1383,2850023
498,4362,639,967243
499,8793,3139,8389845
414,1056,221,625315
494,5249,544,917686
495,3439,489,881475
496,5148,501,824080
497,10073,1301,1619117
490,6938,806,1222583
491,4347,372,463805
492,4814,575,805948
493,3047,599,962693
224,2185,590,984166
471,1292,416,813381
2005,51,10,14017
525,2435,1045,1863341
160,2117,210,251955
421,471,23,36000
349,2286,250,343820
137,2219,371,632079
407,647,259,518512
345,4154,460,567787
346,3449,563,913808
404,4938,1491,2459921
403,3530,555,715165
402,7426,772,1148009
401,4477,712,916861
545,4710,407,593455
281,7195,3889,10654715
280,2975,348,389309
2017,1362,158,182632
504,5339,405,478203
285,8118,1026,1147567
284,7941,836,1186631
409,480,129,329331
2012,2705,254,300236
453,4821,456,734392
522,2431,372,697257
331,1435,198,255125
301,3929,445,836424
523,5638,564,958524
330,2307,515,747165
120,581,48,68175
262,793,76,164383
261,1293,189,1659643
260,1450,259,408456
267,2366,438,723660
266,1222,149,236975
265,3374,424,596417
127,6933,769,1164651
128,6192,687,1033401
2000,2089,670,1250726
442,5301,569,878407
268,3470,715,967961
364,679,130,220524
365,989,106,253880
302,1583,127,218512
534,1726,488,1019150
363,4681,1029,1720272
537,6631,537,774326
415,2155,312,558184
416,864,70,131296
417,6319,1009,1594316
410,3893,512,694659
411,1654,186,281271
531,3958,415,529786
530,4238,894,1712154
296,2410,374,558947
297,4667,429,497505
373,635,115,168400
295,2567,284,416925
418,717,115,229494
293,10341,930,1560679
290,2975,437,740369
376,2009,190,309027
318,5577,364,487170
303,3197,723,1139171
313,972,89,96704
312,4471,800,3119594
311,2708,356,556618
310,1720,279,559474
317,3167,318,403012
316,2486,420,729438
315,3329,990,2081216
314,1592,332,659425
332,1759,366,487618
271,35,0,0
391,1767,344,711185
116,5674,537,689311
397,835,134,280510
396,670,144,451152
395,1134,125,219841
394,3076,288,614350
278,473,84,95835
279,3584,1167,2060741
399,490,68,84269
398,1500,757,1443082
323,1486,157,286188
444,6801,1480,2168500
379,5820,465,645697
174,3114,273,378760
536,4389,331,436766
513,2656,315,435878
524,2577,454,821644
428,4214,414,476637
526,4061,647,927161
527,5209,468,815468
520,2998,650,956613
521,14493,1066,1600628
368,7644,1268,1827152
369,2976,424,553127
366,1477,139,220396
367,2158,249,575088
423,2001,255,420209
422,2888,528,934419
528,4027,360,576438
529,8647,816,1531064
360,2081,301,450069
426,11099,3453,5700093
308,1952,289,520536
309,2678,921,1500961
449,3106,381,627872
448,3914,440,612000
412,2871,653,1248515
512,3339,467,725240
300,3565,465,653242
304,3503,1120,2168512
441,2128,311,405643
440,2507,240,350354
447,4184,736,1502217
446,6228,505,581110
306,2695,344,709888
305,4215,550,1189910
380,5625,882,1195311
533,3368,533,852754
382,6424,832,1155002
383,4013,490,565191
241,899,148,600262
445,4873,622,965741
386,2641,869,1629461
387,7144,4047,8335611
388,3831,696,987432
389,1001,296,554976
443,284,134,230471
307,4190,314,563437
249,1851,263,414125
294,3893,797,930764
245,430,84,101118
242,652,195,301429
372,290,79,223079
