stop_id,month_total_ride,customer_ride_count,customer_duration_sum
216,170,21,60394
217,390,198,354501
212,1441,76,92870
534,656,66,171813
247,1076,59,51469
353,225,0,0
264,925,30,41251
218,155,12,20164
2008,762,88,183913
498,1954,50,58090
499,2266,228,489167
414,432,19,27760
494,1942,37,31673
495,1208,18,68261
496,2103,61,55175
497,2636,149,179214
490,3639,129,203832
491,1752,40,36671
492,2280,61,74800
493,1555,75,106000
167,1893,48,62183
525,584,92,151183
223,1518,39,48050
349,611,10,9768
2009,701,6,4822
407,202,22,39691
345,2110,20,22285
540,2129,42,42273
404,1473,138,207762
403,1280,41,61347
402,2804,55,168093
342,710,10,13288
545,1881,44,53275
281,1518,349,880243
280,1508,43,62227
2017,568,14,24723
282,207,56,117127
348,1531,71,121214
284,2668,35,32586
409,99,2,16856
2012,1347,28,27347
453,1912,53,68016
522,1024,43,51023
434,1314,32,44448
301,1264,30,34300
523,2584,65,87039
455,1135,57,108782
263,1402,48,64646
366,694,16,23255
261,422,8,10145
260,327,10,19375
267,1305,78,97209
266,372,8,6873
265,1260,67,95555
127,2123,45,52692
128,2056,57,61870
377,965,71,93007
332,446,37,44680
423,645,21,34647
365,160,12,749382
302,728,10,7709
528,1954,42,46025
363,1145,51,88019
537,2344,43,56753
536,2115,32,40342
416,314,3,5612
417,2256,74,99176
533,1423,52,65532
532,517,91,167444
412,989,71,219847
530,1147,49,61889
296,1205,57,82714
137,975,64,87288
294,1742,62,75681
372,138,51,2083120
375,2272,65,66146
293,4501,97,92215
539,550,74,148127
538,1269,51,63807
318,4467,73,142665
309,851,71,94078
195,1412,118,181852
312,1604,72,155403
311,827,20,17754
310,664,28,55055
317,1635,22,42177
316,1521,53,96551
315,681,127,232320
314,408,8,9142
393,909,30,29438
271,798,22,28639
391,799,41,108951
116,2115,44,53712
397,180,2,3634
275,176,8,9174
395,357,11,15734
394,1317,31,59189
82,470,43,63101
279,854,96,153934
399,188,15,20443
398,197,43,71271
119,128,5,7947
143,336,8,11377
457,1483,194,407225
379,3056,62,160939
268,1262,66,96509
174,1384,34,32916
304,1022,108,213800
415,730,40,72792
524,1184,50,79813
428,1651,34,44482
526,1742,86,96576
527,1745,14,10996
520,1045,81,131787
521,6543,105,121597
368,2349,79,108920
369,1059,37,42519
421,225,4,3497
367,997,24,27581
364,161,15,14857
422,740,21,35761
362,1092,47,92156
529,1685,60,112482
360,906,34,75671
426,2070,170,321711
308,747,50,54668
410,1458,47,59312
449,815,27,26591
448,1459,25,29191
531,1783,37,51879
300,1432,29,27023
442,2381,42,49947
441,854,28,73293
303,1182,67,70810
447,1488,102,180887
305,1654,72,95358
445,2126,60,75708
307,1518,30,38182
380,1976,79,96495
244,278,3,3780
446,2238,42,52609
383,1422,44,43025
241,234,6,4071
385,721,9,10989
386,786,84,162952
297,1640,23,24372
388,1304,63,66203
389,225,38,205817
443,69,25,33684
444,2619,150,186288
249,154,9,8682
373,166,8,47646
411,626,6,5004
306,239,25,32840
245,152,11,6960
242,290,31,33227
295,981,30,58739
2002,518,72,107291
420,193,4,6475
382,2985,99,102529
419,221,6,7346
519,3693,85,145477
518,2136,33,36970
418,219,14,33492
233,790,40,56168
290,1023,44,74168
438,1462,47,58290
439,1601,45,49338
511,2091,50,52528
510,1356,50,239341
513,919,12,26605
435,4031,55,93066
515,1521,26,50990
514,1067,185,353043
517,1857,59,69450
516,527,24,39828
458,1537,34,58283
459,1910,80,306902
2003,421,12,13902
384,306,14,395724
243,346,4,3885
450,1846,44,52152
334,1705,26,20975
337,655,28,30280
336,1493,37,44386
454,578,12,11858
330,1043,51,60115
456,1023,47,268489
344,170,2,648
430,813,49,110106
258,292,9,9285
259,585,85,146483
346,1254,52,63535
3002,1651,172,270637
252,1152,45,64466
2005,46,0,0
250,2573,90,113518
251,1573,64,69404
173,1636,90,179668
257,1065,21,50707
254,911,26,24720
340,787,7,5565
2000,614,72,122953
2001,59,5,4794
341,676,10,15616
406,575,13,12054
387,1742,404,725103
331,467,19,20412
431,170,5,8210
405,1199,76,110961
248,387,17,17615
313,447,19,32581
347,2105,72,78479
79,985,30,149816
508,915,43,59270
509,2016,87,81036
507,1767,31,63122
504,2670,57,213369
505,2455,129,222790
502,1032,17,22134
503,1885,46,41970
500,1326,87,166566
501,1018,65,85657
469,1266,87,151913
401,1608,76,134850
339,267,2,62874
465,2331,119,182230
464,669,14,19951
467,405,30,45898
400,281,5,17058
461,2276,45,55363
460,243,31,54611
463,1788,66,92090
462,1945,51,78697
168,2722,62,69830
546,1813,48,60553
229,2054,44,65309
228,1182,37,44644
164,1052,27,33379
225,601,118,163547
224,779,83,134635
160,1082,25,31464
161,1800,46,88413
298,169,8,10266
270,573,4,2373
274,337,20,18115
392,588,82,119153
285,3429,96,104420
2010,1000,68,102945
390,343,21,26917
2021,1299,54,70111
2022,749,18,26528
2023,670,12,18328
343,164,24,47971
408,523,32,52998
427,457,82,120612
151,2623,127,165580
150,988,24,30086
153,1722,63,83820
152,811,53,147136
276,900,19,23689
157,556,16,22689
289,90,0,0
361,1704,57,62901
396,218,17,26529
278,241,17,22699
238,977,34,80092
239,458,1,997
83,357,27,78577
236,2029,60,94846
237,1908,65,184445
232,242,77,95459
468,1355,78,124108
357,1299,38,68445
440,1106,23,27617
356,597,16,23115
470,1569,41,50127
322,253,63,113110
323,566,14,18421
320,701,27,44261
471,292,38,192077
326,1661,51,71171
327,2102,110,186129
324,681,19,27918
325,1262,18,22383
437,208,19,104839
2006,1019,573,1475699
328,957,42,57411
329,1649,57,174642
335,1609,41,59130
477,2889,59,94482
146,878,18,26564
147,1935,94,299689
144,121,14,30927
466,1877,32,58460
474,1783,71,78195
321,156,55,101246
351,633,29,34344
350,985,14,17755
376,134,10,73334
436,85,18,54768
72,850,20,29173
489,1772,67,94741
488,2174,66,64426
487,1502,43,53274
486,1743,93,150988
485,1270,31,33658
484,1384,64,77568
483,1877,36,38662
482,1707,29,38520
481,164,11,28385
480,1009,23,35056
120,148,2,2400
512,1425,30,47145
262,328,9,9058
432,2108,50,53673
291,722,22,46253
433,1946,38,46488
472,2648,45,56154
473,870,48,83497
355,1127,33,31750
354,227,6,11302
476,1885,52,62358
352,1544,129,370749
2004,1055,33,52777
475,1450,18,16412
478,1493,54,54743
479,1668,59,93174
359,1921,31,45807
358,2365,85,80375
