stop_id,month_total_ride,customer_ride_count,customer_duration_sum
216,559,218,404560
217,2075,1397,2806255
318,2483,200,386768
534,1428,329,751268
445,4792,524,904618
2005,89,14,16230
264,2005,216,365659
218,444,55,62440
2008,3166,879,1547943
498,3775,489,689807
499,6832,1859,4497218
414,1101,208,505093
494,4836,473,607668
495,3712,378,564766
496,4411,293,410359
497,8962,1025,1359016
490,5870,585,796591
491,3764,272,372109
492,4439,457,784143
493,1046,196,286500
167,3675,306,357247
428,3508,271,448984
160,1968,171,221997
407,604,178,322930
349,1657,189,248146
137,1828,319,681321
289,249,31,42320
345,3738,331,414854
405,5244,1382,2182273
404,4521,1093,1763532
340,1314,49,93240
402,7058,661,884483
401,4003,529,704147
545,3941,299,391952
281,5471,2535,6598265
280,2798,272,304590
2017,1319,127,194706
282,769,289,398173
348,4453,842,1233867
284,7162,633,928953
409,460,126,171896
2012,2641,188,240086
344,509,79,162151
453,4365,387,556561
522,2107,275,562971
2006,5336,3717,10845551
331,1231,113,155519
301,3407,330,396749
369,2495,305,542215
455,2482,314,483268
263,3103,336,577260
421,468,27,45181
261,1159,163,217105
260,1244,144,366831
267,2075,300,455748
266,1008,80,172224
265,2900,325,618755
127,7306,769,1130890
128,5830,542,793906
332,1465,230,345745
364,618,104,144810
365,911,115,206155
302,1339,109,161796
362,2025,314,498968
363,4212,726,1273532
537,6234,450,577311
536,3769,200,296296
416,827,68,86616
417,5514,637,872806
410,3541,352,476395
532,2584,992,1767124
412,2315,404,716141
530,3735,665,2945874
296,1990,289,420116
297,3922,327,526126
294,3485,545,755757
426,8796,2207,3496495
375,4950,531,635065
293,9457,855,1053496
290,2637,311,668584
376,1755,166,280691
443,232,96,156418
195,3245,644,1168901
312,3838,557,999339
311,2250,258,305362
310,1601,224,439959
317,2791,257,340693
316,1999,246,362660
315,2554,645,1307948
314,1493,234,458537
393,1687,106,129711
271,1655,130,1020322
391,1363,177,249540
116,4800,375,477359
397,823,113,241654
396,544,84,117133
395,992,81,113885
394,2724,250,315474
82,946,157,277878
83,994,224,419818
244,718,61,69420
398,1278,576,2095948
119,107,24,46321
232,869,592,898414
143,1021,106,229877
305,3737,381,683218
379,5223,320,410543
268,2889,496,667758
174,2636,175,179917
304,3161,902,1669480
415,1904,263,387382
513,2295,212,307596
503,4189,307,333005
524,1231,130,189509
525,2135,802,1525119
526,3419,443,629481
527,4528,363,487467
520,2229,384,555335
521,13347,752,1064391
368,6663,995,1491570
523,5071,449,639263
366,1349,104,126984
367,1774,150,243200
423,1776,203,291530
422,2064,276,588862
528,3556,283,344945
529,7772,718,1381226
360,1800,186,367223
361,3227,293,408881
308,1602,205,347690
309,2158,594,1064863
449,3026,331,614331
448,3638,346,464933
