stop_id,month_total_ride,customer_ride_count,customer_duration_sum
216,124,18,22033
217,443,180,317261
248,415,20,26185
212,1444,80,85913
474,653,43,44889
2005,47,0,0
228,1209,18,12697
218,147,8,14264
498,1761,72,94506
499,2356,340,794768
494,1929,35,46148
495,1280,14,27188
127,2170,37,71633
497,2724,99,107788
490,3170,86,126357
491,2030,44,33409
492,3350,86,114161
493,1464,47,68683
224,790,78,115850
525,600,80,111825
223,1620,20,20746
407,172,14,25152
349,608,12,745012
137,1102,59,103893
410,1571,61,59447
344,191,1,885
335,1634,41,63302
540,2155,42,79344
347,2154,73,241038
403,1350,49,60341
402,2929,58,66061
401,1582,64,126571
343,158,22,41543
281,1541,366,918060
280,1543,53,75148
2017,535,13,205549
282,194,56,108457
285,3547,117,144411
284,2931,48,54767
409,81,5,37790
2012,1442,33,44308
453,2131,36,41007
522,973,51,132772
414,497,34,41858
301,1303,36,40732
369,1040,36,35893
455,1157,58,86791
263,1356,48,63569
421,233,5,7827
261,439,7,10955
260,313,9,11468
267,1040,69,78202
266,358,17,22768
265,1271,54,64407
264,990,16,20835
128,2161,64,80654
377,1014,59,95789
268,1296,61,85563
364,147,4,4384
2009,677,13,12188
365,168,6,3845
2001,67,1,213
528,1871,28,23484
363,1188,44,63137
537,2373,23,13020
536,2135,28,31942
437,168,27,230100
534,718,52,97915
533,1200,38,47628
532,546,134,277930
412,992,99,170023
530,1176,52,112175
296,1241,58,84377
297,1709,31,32927
373,181,6,10032
372,128,65,2532452
375,2439,50,56811
293,4545,97,91522
539,536,55,81400
291,753,23,32521
318,3972,74,123742
303,1256,72,98066
313,454,25,60512
312,1532,80,106427
311,934,24,25574
545,1885,47,52048
317,1626,24,24341
316,1526,39,72644
315,765,76,102931
314,379,11,23511
393,891,34,91113
271,808,23,24372
391,573,34,74408
116,2216,38,40658
274,344,17,23734
396,229,21,24653
276,865,14,14866
394,1321,15,17328
82,490,37,49484
279,896,77,109343
399,156,18,9570
398,252,45,100641
119,108,0,0
496,2245,67,74669
143,342,8,13236
305,1714,58,100684
379,3400,47,57225
251,1617,72,73699
304,1117,119,194136
415,958,29,45214
513,917,17,27877
416,308,3,1361
524,1037,55,110610
428,1671,30,36071
526,1559,71,76311
527,1687,34,32392
520,1056,83,127145
521,4440,98,154225
368,2391,99,126849
523,2537,47,48387
366,579,12,12009
367,987,30,55474
423,626,27,42859
422,731,23,29248
362,860,29,26655
529,1887,75,181800
360,940,35,64141
361,1504,41,46997
308,857,55,76688
309,841,65,160979
449,821,27,51410
448,1514,25,23922
531,1808,53,138276
420,221,4,8474
300,1422,17,13682
442,2235,35,45246
302,730,6,6099
440,1217,22,28637
447,1451,90,130899
446,2236,52,160593
445,1849,51,55639
307,1536,21,22798
380,1788,66,80638
244,267,4,15401
382,3256,118,137832
383,1477,37,33427
384,235,5,6371
385,719,7,6373
386,910,112,237398
242,306,21,88337
388,1400,41,40314
389,217,31,47518
443,46,25,46677
444,2703,118,142710
