stop_id,month_total_ride,customer_ride_count,customer_duration_sum
216,209,46,77638
217,579,268,485428
212,1973,133,254821
2005,48,1,829
264,1251,38,48576
218,205,12,25574
397,257,9,9294
354,340,8,12429
2008,1170,129,263218
498,2460,135,201267
499,2716,460,1255922
414,651,66,109094
494,2740,65,77862
495,727,36,38967
496,2903,106,105190
497,5920,259,349506
490,3982,197,344610
491,2532,51,45584
492,3906,145,164640
493,2055,143,314610
224,1191,126,195996
428,2353,76,97452
223,2238,46,38945
526,1989,143,214394
137,1240,91,196137
344,299,10,13113
335,2287,73,103930
405,1988,246,313441
404,2312,227,282160
403,1934,92,123674
341,320,4,8626
342,875,30,33434
545,2429,67,65672
281,2078,611,1636906
280,2134,66,76728
2017,665,28,64916
282,311,55,84874
285,4698,229,225129
284,4150,86,78407
409,207,11,17236
2012,1597,39,32210
336,2345,86,105524
440,1502,45,54595
457,1726,328,980454
331,639,33,51828
523,3413,79,95118
2006,1759,972,2887850
120,251,9,24215
262,332,8,7380
261,591,27,44511
260,651,32,48408
267,1319,102,109597
266,441,6,7620
265,1810,88,116108
127,2948,81,120017
128,2919,114,142631
346,1721,82,109690
268,1534,106,135640
364,241,6,32160
365,315,12,31675
455,1300,63,71485
302,892,17,18915
362,1132,65,92673
368,3579,220,285083
529,2331,76,91029
537,3176,53,64633
536,2958,48,49504
416,413,4,3901
534,880,92,120242
410,2088,82,98023
411,827,23,43920
412,1368,169,256110
530,1371,90,174294
296,1396,81,98577
297,1956,50,56929
294,2871,133,149460
295,1286,56,67565
375,3142,83,78586
293,6014,190,223511
539,961,172,344206
376,835,45,54583
318,3985,56,99619
195,1732,194,314087
312,2389,114,163898
311,1356,83,183476
310,945,51,72312
317,2130,58,61662
316,1433,45,57131
315,1102,138,238868
314,484,17,33329
393,1167,43,2121896
271,1083,39,37264
391,877,51,89748
116,3348,75,77295
274,473,18,18682
396,333,49,120973
276,956,27,117732
394,1733,39,141128
278,329,19,27251
83,537,66,128636
399,244,11,11028
398,399,98,133383
119,139,14,18359
369,1460,64,72326
143,471,11,26447
305,2319,105,223764
379,3796,67,93226
251,2447,151,195065
304,1377,189,278327
415,1394,31,34018
513,1160,39,138210
524,958,84,106286
