stop_id,month_total_ride,customer_ride_count,customer_duration_sum
216,790,296,578462
217,2006,1121,1962969
212,3829,655,908673
2005,84,6,3633
264,2284,330,558889
218,490,102,166033
2008,3162,817,1398779
498,5329,614,821122
499,7407,1818,3939991
494,4033,421,539129
495,2722,199,317571
496,4506,406,497639
497,9469,1130,1490709
490,6436,492,632219
491,4724,662,976500
492,4519,428,607638
493,3585,527,746355
343,606,271,382442
224,2213,548,919699
525,1863,589,985098
223,3642,317,390650
349,2052,219,338924
2009,1695,164,217692
407,1036,453,845885
345,5537,359,472269
540,4721,252,364420
347,5984,715,1087942
403,3129,338,468991
402,7438,675,877057
401,4303,494,618122
545,3615,326,429403
281,6112,2847,6947177
280,3414,312,369064
2017,1330,162,262269
282,871,348,492725
285,7398,823,1054839
284,6497,556,724686
409,436,83,110705
2012,2232,131,157994
344,494,77,97433
453,4497,344,472840
537,3784,313,364685
522,2388,465,870167
2006,5182,3229,7804845
331,1366,191,224923
523,5476,408,488905
455,2595,380,589198
263,3525,319,419240
421,489,28,39024
261,1049,161,289805
260,1230,220,341429
267,2872,363,595511
266,1014,109,139477
265,3204,376,518410
127,4986,537,760967
128,5154,477,603089
346,3084,428,522528
268,3320,738,1067120
364,554,103,152782
422,2376,426,794897
362,2726,384,527115
363,3907,893,1478700
379,5424,280,457531
536,4387,342,522342
416,890,93,114646
417,2456,223,313035
410,3744,407,575048
360,1978,224,335334
531,3573,396,437649
530,3599,566,966092
296,2256,274,380912
137,2027,394,821272
294,4155,599,735368
361,3753,338,399954
375,4597,478,668229
293,10196,976,1316536
539,2309,748,1368084
376,2103,194,312099
319,3800,465,695692
318,6135,246,379774
303,2909,575,859372
195,3542,819,1287320
312,4163,544,777580
311,2331,209,296848
310,1768,199,261397
317,3039,208,261193
316,2322,305,471183
315,3167,859,1481007
314,1209,267,402156
393,1687,165,212101
271,1950,145,195813
391,333,59,84485
116,5047,389,494828
274,925,134,216784
396,660,108,155473
276,1873,250,406586
394,2742,194,272771
278,651,129,211480
279,1850,337,494740
399,528,45,70949
398,1552,581,1048081
119,204,12,16202
369,2931,341,428652
143,1022,161,243297
414,1082,248,483658
251,4882,641,1002720
304,3080,1021,1719055
415,2344,288,462649
513,2028,179,296977
