stop_id,month_total_ride,customer_ride_count,customer_duration_sum
216,137,48,84124
217,272,133,296940
212,1296,46,51982
2005,39,1,2020
264,808,41,97853
218,121,2,2553
342,594,4,3527
498,1586,61,73127
499,2008,181,424520
2008,649,78,114624
494,1794,44,46777
495,858,21,42253
496,1634,29,31543
497,3021,106,228387
490,5916,121,159877
491,1778,33,36457
492,1890,53,58593
493,1286,34,40243
167,1575,37,54946
525,537,58,71904
160,885,10,8713
407,192,17,25598
349,610,17,17784
137,829,31,39645
2009,532,19,26339
344,173,0,0
345,1587,26,50700
346,957,21,24977
347,1799,44,54184
403,1015,48,49447
402,2596,58,67229
401,1312,43,48566
545,1613,48,67528
281,1350,297,862065
280,1137,35,29923
2017,536,13,15003
282,211,44,167648
285,2457,60,103289
284,2399,76,177221
409,115,7,7431
2012,1237,29,36265
336,1069,56,77909
522,971,28,70196
454,496,14,19360
414,433,37,49676
341,579,10,14819
523,2469,52,49593
455,1147,58,106569
263,1174,15,19995
262,280,1,1456
261,377,14,33617
260,454,23,35514
267,1258,55,82715
266,390,20,26893
265,1045,43,49897
127,1584,41,48821
128,1695,35,31266
377,758,43,47249
442,2130,56,52409
268,1009,47,50033
321,205,55,76140
364,231,15,17393
422,658,19,32829
360,771,16,17718
534,553,33,44314
363,940,64,98563
537,3185,58,65838
536,1664,34,28305
416,317,8,47020
417,2192,57,127691
533,1338,60,97199
411,578,22,19869
531,1401,24,48259
530,1082,84,114967
441,699,37,60014
297,1527,32,137747
294,1542,53,151030
295,675,16,15110
375,1830,25,25241
293,3574,66,62270
290,1016,17,37878
291,473,8,9092
318,3353,29,50474
195,1117,82,157455
312,1308,43,54530
311,728,18,20537
310,542,14,31174
317,1432,27,45228
316,782,19,28928
315,615,34,61557
314,289,10,22800
393,958,16,19095
271,729,15,28333
391,547,13,44539
116,2105,31,30872
274,255,16,181682
396,185,12,17222
395,345,12,10838
394,1151,26,32275
278,217,17,19516
83,281,41,70999
399,187,9,15396
398,183,43,83953
119,84,2,2557
143,314,6,8093
379,3444,59,66350
174,1367,24,27110
415,750,43,69102
332,515,19,28223
520,848,50,67800
524,1075,36,43016
428,1467,45,44612
526,1472,71,98766
527,1672,31,38674
447,1303,62,127056
521,318,13,11217
368,2067,76,82200
369,850,30,37632
421,222,2,9571
410,1287,27,31729
423,678,23,29744
365,246,8,9364
528,1638,33,38176
529,1950,66,78553
427,411,110,239715
361,1118,10,17277
308,573,24,32600
309,675,79,84698
305,1584,44,72753
448,1252,36,42590
412,724,38,63521
516,523,16,14960
300,1146,24,29441
301,1408,25,26247
302,693,21,25556
303,809,57,81201
304,923,101,154517
446,1896,26,36580
445,1992,47,319804
307,1396,21,26456
380,1503,56,81395
244,232,7,8491
247,815,33,56910
383,1127,29,33466
241,273,8,7066
385,594,15,13195
386,753,86,135083
387,1542,348,587086
388,1210,25,29669
389,213,11,19066
443,73,15,12519
444,2167,131,172543
249,489,11,10127
248,279,11,14591
418,114,4,2829
306,688,11,16491
245,148,5,4827
242,217,18,21747
372,83,21,1925160
2002,471,61,232752
420,227,8,4036
382,2201,76,72382
419,194,3,7615
519,3186,52,50083
518,1853,16,29921
289,117,7,9753
539,472,62,115888
438,1366,45,95404
439,1460,41,48063
511,2047,16,13768
510,1527,94,128072
513,893,25,114446
435,3419,37,33569
432,1867,49,62417
433,1515,17,11512
430,664,29,33985
431,99,0,0
458,1281,40,61934
459,1965,81,122624
339,212,5,8222
243,278,4,4767
450,1256,21,26680
334,1303,28,22307
337,583,38,51820
453,1431,35,97645
331,430,21,18472
330,792,34,31957
456,806,19,21350
457,1258,122,273652
258,347,9,17597
259,533,35,47941
3002,1277,78,141236
252,894,25,27877
296,859,47,45278
250,2247,89,109777
251,698,22,36864
173,1505,119,186964
257,1053,29,45235
254,765,8,11405
340,717,8,7054
2000,460,43,200561
517,2493,26,40820
406,384,8,8915
2022,324,12,24881
405,1083,85,128691
313,381,23,23049
404,1204,122,151234
481,207,29,122522
508,817,69,83364
509,1756,31,43897
507,1476,19,15836
504,2397,43,51457
505,1999,70,73533
502,971,8,8962
503,1657,31,38180
500,1374,58,171360
546,1725,59,119579
469,1148,56,128055
468,1190,51,87447
465,1564,44,49158
464,618,27,29895
467,403,27,54781
466,1562,15,17746
461,2040,43,39700
460,257,22,31804
463,1291,42,49183
462,1645,47,50521
168,2172,45,45178
229,1590,62,60184
228,908,23,31498
164,1012,11,14179
225,539,82,114873
224,617,48,61436
223,1250,19,39754
161,1402,35,50459
298,139,11,12325
270,544,11,10904
373,177,17,113935
392,530,67,106839
348,1132,57,82279
2010,778,44,59560
538,1409,44,58020
